,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7281,629,France,Male,59,9,113657.83,1,1,1,116848.79,1
9494,789,Germany,Male,43,8,119654.44,2,0,1,148412.24,1
8343,849,Germany,Female,49,9,132934.89,1,1,0,171056.65,1
1757,523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1
2752,698,Spain,Female,31,8,185078.26,1,0,0,115337.74,1
7453,778,Germany,Female,35,1,151958.19,3,1,1,131238.37,1
2098,601,France,Female,43,2,0.0,1,1,0,49713.87,1
688,625,France,Female,51,7,136294.97,1,1,0,38867.46,1
8744,664,Germany,Female,49,5,127421.78,2,1,0,108876.75,1
8390,660,France,Female,48,0,90044.32,2,0,1,187604.97,1
1448,555,Germany,Female,46,4,120392.99,1,1,0,177719.88,1
5336,530,France,Female,55,4,120905.03,1,0,1,123475.88,1
8065,430,Germany,Male,49,3,137115.16,1,1,0,146516.86,1
2530,624,France,Female,45,3,68639.57,1,1,0,168002.31,1
5,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
1095,692,France,Male,29,4,0.0,1,1,0,76755.99,1
4399,670,France,Female,45,9,104930.38,1,1,0,155921.81,1
1178,552,France,Male,49,4,0.0,1,1,1,190296.76,1
6023,786,France,Female,33,0,83036.05,1,0,1,154990.58,1
4592,834,France,Male,36,8,142882.49,1,1,0,89983.02,1
8918,641,France,Female,52,4,0.0,1,1,0,90964.54,1
7841,706,Germany,Female,46,7,111288.18,1,1,1,149170.25,1
3317,779,France,Male,71,3,0.0,2,1,1,146895.36,1
1651,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1
6065,691,Germany,Female,37,7,123067.63,1,1,1,98162.44,1
297,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
4316,850,Spain,Male,44,7,89118.26,1,1,0,104240.77,1
8231,787,Germany,Male,43,0,132217.45,1,1,0,20955.03,1
2594,537,Germany,Female,47,6,103163.35,1,1,0,16259.64,1
1424,603,Spain,Female,42,8,91611.12,1,0,0,144675.3,1
3783,647,Spain,Female,26,8,109958.15,1,1,1,136592.24,1
1570,717,Spain,Female,49,1,110864.38,2,1,1,124532.9,1
6028,646,Spain,Female,50,5,142644.64,2,1,1,142208.5,1
7558,622,Spain,Female,36,0,108960.0,2,1,0,111180.3,1
8388,763,France,Female,53,4,0.0,1,1,0,77203.72,1
4738,702,France,Female,40,1,103549.24,1,0,0,9712.52,1
4729,683,France,Female,42,4,148283.94,1,1,1,44692.63,1
3250,611,France,Male,58,8,0.0,2,0,1,107665.68,1
8452,744,Spain,Female,46,1,0.0,3,1,1,177431.59,1
2720,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1
16,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
8688,637,Germany,Male,40,9,154309.67,1,1,1,125334.16,1
1519,544,France,Female,64,3,124043.8,1,1,1,111402.97,1
316,559,France,Male,49,2,147069.78,1,1,0,120540.83,1
4242,526,Germany,Male,50,5,124233.24,1,0,1,159456.87,1
172,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1
